ASK
time (\mus),Amplitude
0.0,-0.048586633
0.01,5.5178595
0.02,14.430314
0.03,15.361357
0.04,25.980602
0.05,32.981842
0.06,39.209106
0.07,46.14298
0.08,46.35338
0.09,50.984165
0.1,61.262066
0.11,65.72912
0.12,67.27972
0.13000001,68.4331
0.14,79.38585
0.15,82.39049
0.16,92.7429
0.16999999,88.6725
0.18,93.97597
0.19,93.335045
0.2,103.91064
0.21,88.78765
0.22,95.03084
0.23,94.420815
0.24,103.04768
0.25,110.94898
0.26000002,101.13522
0.26999998,93.96794
0.28,97.89224
0.29,100.40991
0.3,96.03414
0.31,95.47673
0.32,82.61485
0.33,81.19155
0.33999997,86.35104
0.35,89.475105
0.36,78.49403
0.37,77.515755
0.38,69.49649
0.39,60.95072
0.4,55.963844
0.41,53.512264
0.42,45.13878
0.43,36.925785
0.44,33.62673
0.45,36.869102
0.46,25.85783
0.47,24.790422
0.48,13.211615
0.48999998,17.51569
0.5,0.83424085
0.51,2.9198368
0.52000004,-20.829845
0.53000003,-11.474619
0.53999996,-27.979734
0.54999995,-29.015003
0.56,-44.80939
0.57,-46.75712
0.58,-43.033134
0.59000003,-51.368805
0.6,-63.13665
0.60999995,-70.185555
0.62,-69.117966
0.63,-76.44922
0.64,-70.86573
0.65,-79.53427
0.66,-82.23159
0.67,-87.30199
0.67999995,-90.19998
0.69,-98.80384
0.7,-95.05301
0.71,-94.09417
0.72,-101.81057
0.73,-106.032486
0.74,-97.661674
0.74999994,-98.2186
0.76,-99.421616
0.77,-96.88897
0.78,-97.31809
0.79,-85.24128
0.8,-96.3853
0.81,-89.20274
0.82,-86.9165
0.83,-83.99183
0.84,-90.1487
0.84999996,-81.3855
0.86,-85.27481
0.87,-67.341034
0.88,-66.9437
0.89,-61.49335
0.9,-59.59723
0.90999997,-60.48648
0.92,-51.836163
0.93,-44.363434
0.94,-39.4171
0.95,-28.905256
0.96,-25.541985
0.96999997,-19.021235
0.97999996,-16.64724
0.99,-12.248505
1.0,-4.8575416
1.01,0.28040308
1.02,8.594257
1.03,23.947687
1.0400001,26.47662
1.0500001,35.95343
1.0600001,43.61684
1.0699999,43.01903
1.0799999,50.02441
1.0899999,54.3257
1.0999999,54.608658
1.11,59.358475
1.12,68.44319
1.13,76.01245
1.14,77.255516
1.15,81.31486
1.16,85.36859
1.1700001,89.78881
1.1800001,85.728355
1.19,87.68831
1.2,100.59239
1.2099999,95.91812
1.2199999,93.829865
1.2299999,89.24622
1.24,105.572014
1.25,101.74544
1.26,109.262245
1.27,96.19492
1.28,106.88223
1.29,99.82774
1.3,96.79835
1.3100001,97.616
1.32,79.06221
1.33,93.18418
1.34,90.6319
1.35,86.12757
1.3599999,78.678566
1.37,68.17298
1.38,62.730602
1.39,69.66319
1.4,55.333305
1.41,53.592117
1.42,44.737415
1.43,38.205914
1.44,41.655617
1.45,25.684357
1.46,23.092825
1.47,22.153486
1.48,18.610085
1.49,8.399421
1.4999999,3.2170901
1.51,-2.0973175
1.52,-16.370197
1.53,-19.24335
1.54,-24.168173
1.55,-23.210485
1.56,-36.38046
1.57,-44.32113
1.58,-44.836235
1.59,-49.395336
1.6,-61.457672
1.61,-63.35711
1.62,-74.825325
1.63,-74.261475
1.64,-72.14398
1.65,-79.847244
1.66,-92.06344
1.67,-97.6956
1.68,-82.29918
1.6899999,-98.12782
1.6999999,-100.88029
1.71,-96.79702
1.72,-105.72846
1.73,-98.397575
1.74,-99.225494
1.75,-95.3441
1.76,-99.30206
1.77,-90.71785
1.78,-93.41247
1.79,-96.34831
1.8,-94.11288
1.81,-94.633736
1.8199999,-90.10056
1.8299999,-86.07416
1.84,-88.69219
1.85,-85.88192
1.86,-78.237274
1.87,-75.07159
1.88,-69.10355
1.89,-65.3424
1.9,-55.779217
1.9100001,-54.551464
1.92,-50.581577
1.9300001,-48.34529
1.9399999,-38.06939
1.95,-27.633429
1.9599999,-21.188995
1.97,-17.331446
1.98,-10.491239
1.9900001,-6.876428
2.0,-0.15770058
2.01,9.521414
2.02,18.843952
2.03,12.154429
2.04,25.482538
2.05,32.03635
2.06,36.693615
2.07,36.054108
2.0800002,47.043667
2.09,48.400707
2.1000001,53.217724
2.11,59.707127
2.1200001,70.74338
2.1299999,73.69134
2.1399999,73.33849
2.15,83.15587
2.1599998,79.46697
2.17,87.533936
2.1799998,89.374054
2.19,96.223755
2.1999998,98.169235
2.21,100.98929
2.22,92.40897
2.23,94.39684
2.24,97.48293
2.25,99.35352
2.26,105.03161
2.27,98.34836
2.28,94.781525
2.29,90.55932
2.3,98.698746
2.31,97.097275
2.32,90.40121
2.33,94.495255
2.3400002,83.88538
2.35,79.18434
2.3600001,86.858406
2.37,67.50331
2.38,67.86475
2.3899999,57.777306
2.4,63.588524
2.41,57.218544
2.4199998,53.784996
2.43,47.640957
2.4399998,43.16643
2.45,37.923256
2.4599998,23.625095
2.47,21.005068
2.48,14.752097
2.49,3.755644
2.5,-6.7693605
2.51,-11.52342
2.52,-16.567299
2.53,-17.577656
2.54,-34.10577
2.5500002,-31.65116
2.56,-38.06312
2.57,-47.021538
2.58,-53.245266
2.59,-45.352585
2.6,-56.972668
2.61,-58.97584
2.6200001,-77.48618
2.6299999,-73.62511
2.64,-79.262375
2.6499999,-81.34872
2.66,-86.14844
2.67,-79.90247
2.68,-88.40861
2.69,-93.152916
2.7,-101.36445
2.71,-97.24295
2.7199998,-101.38195
2.73,-99.154625
2.74,-98.91234
2.75,-102.90525
2.76,-100.86691
2.77,-106.010635
2.78,-88.18988
2.79,-95.42362
2.8,-97.17683
2.8100002,-98.3918
2.82,-89.81993
2.8300002,-88.949356
2.84,-84.39965
2.85,-81.34322
2.86,-78.94435
2.87,-73.660385
2.88,-74.47071
2.8899999,-68.01282
2.9,-57.259983
2.9099998,-46.454132
2.92,-48.808155
2.9299998,-46.580708
2.94,-39.053432
2.95,-27.114231
2.96,-24.312618
2.97,-17.92572
2.98,-13.684133
2.99,-2.8406782
2.9999998,4.098204
3.01,0.93834114
3.02,13.244735
3.03,14.708119
3.04,27.17345
3.05,28.624365
3.06,36.776825
3.07,50.944263
3.08,41.422256
3.0900002,60.721905
3.1,54.031704
3.1100001,68.45255
3.12,68.40312
3.1299999,73.66319
3.14,72.75079
3.1499999,78.15676
3.16,97.66878
3.1699998,82.79858
3.18,90.906906
3.1899998,99.59924
3.2,95.0521
3.21,97.344246
3.22,97.83315
3.23,109.22341
3.24,99.98127
3.25,104.83368
3.26,98.39673
3.27,104.90135
3.28,93.46528
3.29,88.18158
3.3,95.494446
3.31,97.698044
3.32,89.97736
3.33,98.55824
3.34,81.89653
3.3500001,73.51828
3.36,73.93635
3.3700001,75.15052
3.3799999,69.72174
3.39,64.15161
