QAM
time (\mus),Amplitude
0.0,24.982286
0.01,22.07844
0.02,33.58255
0.03,27.422415
0.04,37.671474
0.05,31.292507
0.06,31.264479
0.07,35.802715
0.08,36.456383
0.09,35.698975
0.1,36.97184
0.11,29.319227
0.12,33.17454
0.13000001,41.040478
0.14,28.259369
0.15,43.496403
0.16,39.04537
0.16999999,38.068356
0.18,34.927074
0.19,31.431488
0.2,36.027035
0.21,29.625711
0.22,29.671549
0.23,23.651125
0.24,20.556509
0.25,28.53299
0.26000002,25.943684
0.26999998,22.338018
0.28,30.391542
0.29,15.28285
0.3,16.772886
0.31,15.791203
0.32,7.1903567
0.33,11.560365
0.33999997,8.147706
0.35,4.6578894
0.36,-1.3434814
0.37,-0.99043816
0.38,0.4997894
0.39,-4.0978413
0.4,-7.3827667
0.41,-12.255963
0.42,-17.226099
0.43,-7.737176
0.44,-18.108803
0.45,-13.944675
0.46,-28.460556
0.47,-25.350294
0.48,-17.441372
0.48999998,-22.346197
0.5,-25.627317
0.51,-23.266077
0.52000004,-20.697115
0.53000003,-34.59404
0.53999996,-33.69512
0.54999995,-31.462511
0.56,-30.236938
0.57,-30.402838
0.58,-25.807121
0.59000003,-43.126663
0.6,-29.492334
0.60999995,-32.5693
0.62,-19.234308
0.63,-34.816635
0.64,-32.14363
0.65,-32.678314
0.66,-40.221382
0.67,-27.004066
0.67999995,-28.69771
0.69,-39.821968
0.7,-32.05914
0.71,-29.97439
0.72,-31.178062
0.73,-23.103428
0.74,-32.43829
0.74999994,-22.893314
0.76,-21.545742
0.77,-17.795918
0.78,-17.190832
0.79,-14.603668
0.8,-14.661547
0.81,-6.725409
0.82,-23.424902
0.83,-12.426262
0.84,-8.173753
0.84999996,-6.1489286
0.86,-8.255429
0.87,0.84975314
0.88,3.7371104
0.89,5.3798466
0.9,9.428828
0.90999997,6.2914495
0.92,13.467009
0.93,17.11229
0.94,19.812689
0.95,17.30521
0.96,19.785776
0.96999997,23.67529
0.97999996,20.102905
0.99,24.799595
1.0,20.934528
1.01,31.85642
1.02,28.124998
1.03,24.559208
1.0400001,36.393875
1.0500001,30.606989
1.0600001,36.45913
1.0699999,33.731354
1.0799999,36.925255
1.0899999,31.55017
1.0999999,36.381702
1.11,31.548265
1.12,37.21389
1.13,34.98881
1.14,39.859642
1.15,33.14177
1.16,31.043201
1.1700001,40.412914
1.1800001,29.348444
1.19,36.287537
1.2,32.49958
1.2099999,25.24171
1.2199999,33.85356
1.2299999,24.141872
1.24,22.89359
1.25,26.463984
1.26,20.203218
1.27,29.134653
1.28,16.997835
1.29,18.637987
1.3,16.01307
1.3100001,16.482798
1.32,15.732799
1.33,17.162985
1.34,6.7072544
1.35,11.295937
1.3599999,4.647643
1.37,-1.6073416
1.38,-6.6104565
1.39,-4.212267
1.4,-9.360287
1.41,-7.491636
1.42,-11.431297
1.43,-10.216891
1.44,-20.689653
1.45,-22.388676
1.46,-18.412004
1.47,-19.897747
1.48,-23.534111
1.49,-19.366402
1.4999999,-20.25407
1.51,-26.236855
1.52,-20.59664
1.53,-32.681232
1.54,-28.773058
1.55,-33.06417
1.56,-31.674492
1.57,-33.563972
1.58,-34.00226
1.59,-30.282425
1.6,-36.976566
1.61,-31.49708
1.62,-38.1699
1.63,-38.23736
1.64,-30.658495
1.65,-34.673805
1.66,-35.602245
1.67,-40.376865
1.68,-40.894505
1.6899999,-33.337803
1.6999999,-30.59334
1.71,-34.01605
1.72,-21.40711
